Turn,Player Name,Profession,Strategy,Salary,Passive Income,Taxes,Other Expenses,Total Expenses,Child Cost,Savings,Loans,Sold Assets,No. Children,Cashflow,Stock Assets,Real Estate Assets,Business Assets,No. Dice,Die Roll,Board Space No. Before,Board Space No. After,Passed Paycheck,Board Space After
51,Paulcool,Engineer,Standard Auto,4900,2970,1050,1090,3560,250,18000,6,1,1,4310,3,5,0,1,2,16,18,False,Opportunity
52,Paulcool,Engineer,Standard Auto,4900,2970,1050,1090,3560,250,18000,6,1,1,4310,3,5,0,1,1,18,19,False,Downsized
53,Paulcool,Engineer,Standard Auto,4900,2970,1050,1090,3560,250,14440,6,1,1,4310,3,5,0,1,Use Layoff
54,Paulcool,Engineer,Standard Auto,4900,2970,1050,1090,3560,250,14440,6,1,1,4310,3,5,0,1,Use Layoff
55,Paulcool,Engineer,Standard Auto,4900,2970,1050,1090,3560,250,14440,6,1,1,4310,3,5,0,1,4,19,0,True,Opportunity
56,Paulcool,Engineer,Standard Auto,4900,2970,1050,1090,3560,250,18750,6,1,1,4310,3,5,0,1,4,0,4,False,Opportunity
57,Paulcool,Engineer,Standard Auto,4900,3110,1050,1090,3560,250,11750,6,1,1,4450,3,6,0,1,2,4,6,True,Opportunity
58,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,4200,6,1,1,4850,3,7,0,1,1,6,7,False,The Market
59,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,4200,6,1,1,4850,3,7,0,1,5,7,12,False,Opportunity
60,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,0,6,1,1,4850,4,7,0,1,6,12,18,True,Opportunity
61,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,4850,6,1,1,4850,4,7,0,1,1,18,19,False,Downsized
62,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,1290,6,1,1,4850,4,7,0,1,Use Layoff
63,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,1290,6,1,1,4850,4,7,0,1,Use Layoff
64,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,1290,6,1,1,4850,4,7,0,1,2,19,21,True,Pay Check
65,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,6140,6,1,1,4850,4,7,0,1,1,21,22,False,Opportunity
66,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,6140,6,1,1,4850,4,7,0,1,1,22,0,False,Opportunity
67,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,6140,6,1,1,4850,4,7,0,1,1,0,1,False,Doodads
68,Paulcool,Engineer,Standard Auto,4900,3510,1050,1090,3560,250,6040,6,1,1,4850,4,7,0,1,2,1,3,False,Charity
69,Paulcool,Engineer,Standard Auto,4900,3750,1050,1090,3560,250,2400,6,1,1,5090,4,8,0,2,<module 'dieRoll' from 'C:\\Users\\PaulJ\\Data\\Computers & Internet\\Python\\CashFlow Simulation\\dieRoll.py'>,6,6,True,Opportunity
E,n,d, ,o,f, ,s,i,m,u,l,a,t,i,o,n
